Community area,Latitude,Longitude
Albany Park,41.9683,-87.728
Riverdale,41.6611,-87.6038
Edgewater,41.9837,-87.6601
Archer Heights,41.8079,-87.7236
Armour Square,41.8408,-87.634
Ashburn,41.7479,-87.7072
Auburn Gresham,41.7434,-87.6562
Avalon Park,41.7442,-87.5856
Avondale,41.9415,-87.7025
Irving Park,41.9538,-87.7193
New City,41.8067,-87.668
Belmont Craign,41.9313,87.7663
Hermosa,41.9215,-87.7344
Dunning,41.9453,-87.807
Beverly,41.7171,-87.6762
Morgan Park,41.6875,-87.6692
Norwood Park,41.9858,-87.8069
Lake View,41.9398,-87.6589
Lincoln Square,41.9255,-87.6488
Washington Heights,41.7176,-87.6431
Bridgeport,41.8364,-87.6487
Brighton Park,41.8194,-87.699
Douglas,41.8347,-87.6206
Logan Square,41.9231,-87.7093
Uptown,41.9665,-87.6533
Burnside,41.7281,-87.5964
Near North Side,41.9039,-87.6315
Calumet Heights,41.7298,-87.5705
Near South Side,41.8608,-87.6257
Chatham,41.7401,-87.6146
Chicago Lawn,41.7719,-87.6954
Clearing,41.778,-87.7691
Pullman,41.7076,-87.5942
North Lawndale,41.859,-87.7152
East Garfield Park,41.881,-87.7012
Hyde Park,41.7948,-87.5917
Lower West Side,41.8523,-87.666
East Side,41.708,-87.5352
West Town,41.8936,-87.6722
Forest Glen,41.9962,-87.7642
Edison Park,42.0054,-87.8133
Englewood,41.7753,-87.6416
Roseland,41.7108,-87.6236
West Lawn,41.7728,-87.7223
Fuller Park,41.8091,-87.6334
Near West Side ,41.8811,-87.663
Gage Park,41.7954,-87.6962
Austin,41.8949,-87.7654
Garfield Ridge,41.7927,-87.7623
Jefferson Park,41.9825,-87.7704
Grand Boulevard,41.8131,-87.6178
Greater Grand Crossing,41.7657,-87.6153
Hegewisch,41.6555,-87.5459
North Park,41.9828,-87.7284
Humboldt Park,41.8991,-87.7213
South Shore,41.759,-87.57
Kenwood,41.8095,-87.5933
Lincoln Park,41.9255,-87.6488
South Lawndale,41.8445,-87.705
The Loop,41.8786,-87.6251
Rogers Park,42.0106,-87.6696
McKinley Park,41.8316,-87.6729
Montclare,41.9294,-87.7982
Mount Greenwood,41.6931,-87.7124
North Center,41.9467,-87.6883
West Ridge,42.0006,-87.6926
Oakland,41.8227,-87.6014
O'Hare,41.9773,-87.8369
Portage Park,41.9532,-87.7646
South Chicago,41.7397,-87.5544
South Deering,41.6737,-87.5753
Washington Park,41.7945,-87.616
West Elsdon,41.7929,-87.7222
West Englewood,41.7781,-87.6667
West Pullman,41.6716,-87.6333
Woodlawn,41.7806,-87.5915
, ,
